City,County
Targoviste,Dambovita
Targu Bujor,Galati
Targu Carbunesti,Gorj
Targu Frumos,Iasi
Targu Jiu,Gorj
Targu Lapus,Maramures
Targu Mures,Mures
Targu Neamt,Neamt
Targu Ocna,Bacau
Targu Secuiesc,Covasna
Tarnaveni,Mures
Techirghiol,Constanta
Tecuci,Galati
Teius,Alba
Timisoara,Timis
Tismana,Gorj
Titu,Dambovita
Toplita,Harghita
Topoloveni,Arges
Tulcea,Tulcea
Turda,Cluj
Turnu Magurele,Teleorman
Tandarei,Ialomita
Ticleni,Gorj
Ulmeni,Maramures
Ungheni,Mures
Uricani,Hunedoara
Urlati,Prahova
Urziceni,Ialomita
Valea lui Mihai,Bihor
Vaslui,Vaslui
Vascau,Bihor
Vatra Dornei,Suceava
Valenii de Munte,Prahova
Vanju Mare,Mehedinti
Vicovu de Sus,Suceava
Victoria,Brasov
Videle,Teleorman
Viseu de Sus,Maramures
Vlahita,Harghita
Voluntari,Ilfov
Vulcan,Hunedoara
Zalau,Salaj
Zarnesti,Brasov
Zimnicea,Teleorman
Zlatna,Alba
